Market,Period,Strategy,Ann. Return,Ann. Vol,Sharpe,Sortino,Max Drawdown,Calmar,VaR 95,CVaR 95,Avg Turnover,Obs,Gamma,MV CEQ Ann.,CRRA CE Ann.,Delta MV CEQ vs 60/40,Delta MV CEQ vs 1/N,Welfare Obs,Welfare Start,Welfare End,Period Obs,Period Start,Period End,Target Ann. Vol,Realized / Target Vol
US,Full Sample,Direct Short Variance 5% Vol,0.053211202660093715,0.08305994803845848,0.6707890549556992,0.7553874816088434,-0.19994474205385526,0.26612954216000956,-0.016055782839401664,-0.07173234410019266,0.02306314670064574,232.0,5.0,0.03846831662900849,0.032862525773266205,-0.019008675178724697,-0.01641323264289564,232,2007-04-30,2026-07-31,232,2007-04-30,2026-07-31,0.05,1.6611989607691695
US,Full Sample,Direct Short Variance 10% Vol,0.09882000010320335,0.16611989607691696,0.6707890549556992,0.7553874816088434,-0.3977420348062516,0.24845249296152624,-0.03211156567880333,-0.14346468820038533,0.04612629340129148,232.0,5.0,0.042441858417259865,-0.035363686264141214,-0.01503513339047332,-0.012439690854644261,232,2007-04-30,2026-07-31,232,2007-04-30,2026-07-31,0.1,1.6611989607691695
US,Full Sample,Direct Short Variance 10% Vol (VRP > 0),0.08180825464557229,0.16066555889790546,0.5898282450372914,0.6590418445188885,-0.3977420348062516,0.20568169186699814,-0.027154161936571757,-0.13287951686697327,0.039858105056402415,232.0,5.0,0.03023153010274632,-0.04567472881216372,-0.027245461704986863,-0.024650019169157805,232,2007-04-30,2026-07-31,232,2007-04-30,2026-07-31,0.1,1.6066555889790546
US,Full Sample,Direct Short Variance 10% Vol (High VRP),0.062320749747014625,0.07174096946754084,0.8816668516675211,1.218248930380842,-0.23464506501608817,0.2655958255194571,-0.01220749630109555,-0.05263641994319981,0.020132469610168235,232.0,5.0,0.05038471793566593,0.04999041732875087,-0.007092273872067255,-0.004496831336238197,232,2007-04-30,2026-07-31,232,2007-04-30,2026-07-31,0.1,0.7174096946754084
US,First Half,Direct Short Variance 5% Vol,0.05295766811746305,0.08539107074969504,0.6516736339736474,0.7371363251701124,-0.1907330239060543,0.2776533766042916,-0.013954705420393218,-0.07468790716351244,0.023316577616431997,116.0,5.0,0.03741802197490604,0.03211436119730049,-0.003331486593410468,-0.005866960276207228,116,2007-04-30,2016-11-30,116,2007-04-30,2016-11-30,0.05,1.7078214149939008
US,First Half,Direct Short Variance 10% Vol,0.09801412996576442,0.17078214149939008,0.6516736339736474,0.7371363251701124,-0.36304278541648605,0.2699795558623254,-0.027909410840786436,-0.14937581432702488,0.046633155232863994,116.0,5.0,0.038377869130914954,-0.03133695935828351,-0.0023716394374015543,-0.004907113120198314,116,2007-04-30,2016-11-30,116,2007-04-30,2016-11-30,0.1,1.7078214149939008
US,First Half,Direct Short Variance 10% Vol (VRP > 0),0.07759137584697862,0.16202081068481355,0.5606436461596364,0.6273533236789031,-0.35102196316683365,0.22104421941854677,-0.026787785438613227,-0.13173090180295802,0.04102412700908352,116.0,5.0,0.025209080318663566,-0.04193658787297294,-0.015540428249652943,-0.018075901932449703,116,2007-04-30,2016-11-30,116,2007-04-30,2016-11-30,0.1,1.6202081068481355
US,First Half,Direct Short Variance 10% Vol (High VRP),0.06637658287736903,0.05844778403200653,1.1313715142362062,2.061609942229275,-0.06114028269976135,1.0856440295397607,-0.012842122132045516,-0.035713773450359865,0.02034735897481711,116.0,5.0,0.05758579927841179,0.05918017323026148,0.016836290710095278,0.014300817027298518,116,2007-04-30,2016-11-30,116,2007-04-30,2016-11-30,0.1,0.5844778403200653
US,Second Half,Direct Short Variance 5% Vol,0.053464798249589274,0.08103249406420922,0.6884188788539157,0.7749658752346674,-0.19994474205385515,0.2673978705335923,-0.01705227591716358,-0.06850263714524632,0.022809715784859474,116.0,5.0,0.039368635978754236,0.033611413635374454,-0.034769723424002676,-0.02702807769809195,116,2016-12-31,2026-07-31,116,2016-12-31,2026-07-31,0.05,1.6206498812841843
US,Second Half,Direct Short Variance 10% Vol,0.09962646169630807,0.16206498812841844,0.6884188788539157,0.7749658752346674,-0.3977420348062515,0.2504800925676317,-0.03410455183432716,-0.13700527429049264,0.04561943156971895,116.0,5.0,0.04590594648617795,-0.03936812528533962,-0.028232412916578964,-0.020490767190668238,116,2016-12-31,2026-07-31,116,2016-12-31,2026-07-31,0.1,1.6206498812841843
