,Model Group,Ann. Return,Ann. Vol,Sharpe,Sortino,Max Drawdown,Calmar,VaR 95,CVaR 95,Avg Turnover,Obs
Buy-and-Hold Equity,Benchmark,0.0398414567054608,0.17172261608929754,0.31318223733672707,0.46775988341642105,-0.3573818636628908,0.11148147333811607,-0.07386395465320685,-0.09858260816914886,0.0,122.0
60/40,Benchmark,0.02683995596547395,0.11243367829072275,0.29173107307413326,0.42774985628252443,-0.2031676976200818,0.13210739837030566,-0.05084497435538074,-0.06547197483905706,0.01737980320939861,122.0
1/N Equity-Bond,Benchmark,0.0230208871789086,0.09840938968986584,0.2804487364588508,0.40760117137908264,-0.1966172425293029,0.11708478301681846,-0.04614327524193653,-0.058533735313079656,0.01810723322262111,122.0
HMM RV,HMM,0.01803281579167626,0.10936272209535183,0.21784546851349418,0.3146968087397694,-0.19386377906436292,0.09301797312890177,-0.05147306134218571,-0.06203396434144242,0.17762757225905637,122.0
HMM RV + Log VRP,HMM,0.013546958162249156,0.10653029704453912,0.17932401856064048,0.25610600689844215,-0.2767019682759171,0.04895866208201535,-0.05205220668005759,-0.060133472848971956,0.29586044708790576,122.0
RSM Returns Only,RSM,0.008265351848603109,0.08736522558173278,0.13784056148903195,0.1911712616047094,-0.23089905728719218,0.03579638628980051,-0.039099407385748366,-0.05486948528061824,0.32760732307912793,122.0
RSM RV,RSM,0.016588036298176068,0.08804064386580371,0.2307352103974326,0.33433094583681344,-0.22570075348235474,0.07349570633787414,-0.04142424688204061,-0.05270939850362067,0.4343192980873307,122.0
RSM RV + Raw VRP,RSM,0.025548259192259115,0.11244738473362685,0.28088707659761614,0.40729842655138393,-0.20465652544363666,0.12483481353393358,-0.0514845352779162,-0.06739141352660233,0.34001945997213545,122.0
RSM RV + Log VRP,RSM,0.018710552913646872,0.09182109673318331,0.24763200271400476,0.36316667947447046,-0.2227536807838878,0.08399660489471132,-0.041519292972814294,-0.05365951723946928,0.3679764468322968,122.0
ML Logistic Base,Machine Learning,0.014646474458344105,0.09702745502352618,0.19825681539535395,0.2801629161414269,-0.2011104491836173,0.07282801325241743,-0.04496739222384655,-0.05773043455417171,0.15578412776391198,122.0
ML Logistic + VRP,Machine Learning,0.014899831257911389,0.09883198257760273,0.19901891385332066,0.2798627497132888,-0.19921533370096633,0.07479259242301545,-0.044827226486187276,-0.05957110289746058,0.15288223690669978,122.0
ML Random Forest Base,Machine Learning,0.018184709147914146,0.09898557008105166,0.23150537576241664,0.3296568111304648,-0.19284289162247337,0.09429805265269603,-0.046107767820935106,-0.05911260187503218,0.18253209336699588,122.0
ML Random Forest + VRP,Machine Learning,0.022602999734378404,0.09989028782271131,0.2736622078461325,0.3957833245629369,-0.19166273243152965,0.11793111497277223,-0.045701894957784664,-0.058183561258263336,0.15380995686442558,122.0
ML Gradient Boosting Base,Machine Learning,0.01977503832230787,0.09970788150190059,0.2462256846705184,0.35246193701917955,-0.19142212509719447,0.10330591781000814,-0.04453082348344742,-0.06041764079851379,0.29574920457533305,122.0
ML Gradient Boosting + VRP,Machine Learning,0.02122297045688004,0.09940265361468749,0.2609853688800022,0.3734615518910673,-0.19179147665456153,0.11065648394326223,-0.04384160638609831,-0.060045648353307834,0.2600642985561339,122.0
