Market,Strategy,Model Group,Gamma,Obs,Start,End,Ann. Arithmetic Mean,Ann. Geometric Return,Ann. Vol,MV CEQ Ann.,CRRA CE Ann.,Min Monthly Return,CRRA Domain Valid,Delta MV CEQ Ann. vs 60/40,Delta MV CEQ CI Low vs 60/40,Delta MV CEQ CI High vs 60/40,Delta MV CEQ Positive vs 60/40,Delta CRRA CE Ann. vs 60/40,Delta CRRA CE CI Low vs 60/40,Delta CRRA CE CI High vs 60/40,Delta CRRA CE Positive vs 60/40,Bootstrap P(Delta MV <= 0) vs 60/40,Bootstrap P(Delta CRRA <= 0) vs 60/40,Fee Eq. bps vs 60/40,CRRA Fee Eq. bps vs 60/40,Delta MV CEQ Ann. vs 1/N Equity-Bond,Delta MV CEQ CI Low vs 1/N Equity-Bond,Delta MV CEQ CI High vs 1/N Equity-Bond,Delta MV CEQ Positive vs 1/N Equity-Bond,Delta CRRA CE Ann. vs 1/N Equity-Bond,Delta CRRA CE CI Low vs 1/N Equity-Bond,Delta CRRA CE CI High vs 1/N Equity-Bond,Delta CRRA CE Positive vs 1/N Equity-Bond,Bootstrap P(Delta MV <= 0) vs 1/N Equity-Bond,Bootstrap P(Delta CRRA <= 0) vs 1/N Equity-Bond,Fee Eq. bps vs 1/N Equity-Bond,CRRA Fee Eq. bps vs 1/N Equity-Bond
EU,Buy-and-Hold Equity,Benchmark,1.0,127,2015-09-30,2026-07-31,0.08493878995721423,0.06878760083265467,0.1834815858759378,0.06810604377943966,0.06878760083265512,-0.3396611105639215,True,0.022261494342274812,-0.011881994427676389,0.05909321906923031,False,0.022212658615144987,-0.0144290809497882,0.06634824613474409,False,0.098,0.121,222.61494342274813,222.12658615144986,0.028615526322686796,-0.013829912439303703,0.07439825854712778,False,0.028703271662401608,-0.01687470316720935,0.08277559625547104,False,0.0935,0.1105,286.155263226868,287.0327166240161
EU,60/40,Benchmark,1.0,127,2015-09-30,2026-07-31,0.05234626715352249,0.04657494221751057,0.11403260688380007,0.045844549437164844,0.04657494221751013,-0.2050293565963359,True,0.0,0.0,0.0,False,0.0,0.0,0.0,False,1.0,1.0,0.0,0.0,0.006354031980411984,-0.0018555347139002877,0.015245217548215395,False,0.0064906130472566215,-0.002148574666243061,0.016672289960179235,False,0.067,0.072,63.54031980411984,64.90613047256622
EU,1/N Equity-Bond,Benchmark,1.0,127,2015-09-30,2026-07-31,0.044240423235412614,0.0400843291702524,0.09746697675274178,0.03949051745675286,0.04008432917025351,-0.1713204064891022,True,-0.006354031980411984,-0.015245217548215399,0.0018555347139002864,False,-0.0064906130472566215,-0.016672289960179238,0.0021485746662430606,False,0.933,0.928,-63.54031980411984,-64.90613047256622,0.0,0.0,0.0,False,0.0,0.0,0.0,False,1.0,1.0,0.0,0.0
EU,ML Logistic Base,Machine Learning,1.0,127,2015-09-30,2026-07-31,0.041714808523471224,0.037687646055751145,0.09529547187309811,0.037174195043713006,0.03768764605575248,-0.1679538332291395,True,-0.008670354393451839,-0.024053478378993708,0.0036741943435528307,False,-0.008887296161757652,-0.025703680764465126,0.003904499055459559,False,0.933,0.9305,-86.7035439345184,-88.87296161757652,-0.002316322413039855,-0.011341963872725083,0.00497455173738937,False,-0.0023966831145010303,-0.011984594167914437,0.005220879287809837,False,0.765,0.7635,-23.16322413039855,-23.966831145010303
EU,RSM Returns Only,RSM,1.0,127,2015-09-30,2026-07-31,0.04413451032710495,0.034593715240892386,0.13711367213004963,0.03473443078461157,0.03459371524089261,-0.2685692858867345,True,-0.011110118652553277,-0.040423314293597655,0.012114741592464617,False,-0.01198122697661752,-0.04180809624599001,0.013188660936633095,False,0.774,0.7755,-111.10118652553277,-119.8122697661752,-0.004756086672141294,-0.03954810778104462,0.026198282180304282,False,-0.005490613929360899,-0.04054792251024457,0.02849508423540607,False,0.563,0.5755,-47.560866721412935,-54.90613929360899
EU,RSM RV,RSM,1.0,127,2015-09-30,2026-07-31,0.043753073484522335,0.03416650884988659,0.13729042999582272,0.03432874240030339,0.03416650884988681,-0.2691876640286391,True,-0.011515807036861454,-0.04129185839726179,0.014362205200376234,False,-0.012408433367623317,-0.04262879846215021,0.01565547235943059,False,0.7555,0.759,-115.15807036861455,-124.08433367623317,-0.0051617750564494705,-0.039851105850078075,0.02758430230059758,False,-0.005917820320366696,-0.042108624684507615,0.03043941046036707,False,0.558,0.57,-51.617750564494706,-59.17820320366695
EU,ML Logistic + VRP,Machine Learning,1.0,127,2015-09-30,2026-07-31,0.03791646565217735,0.0339554381894005,0.09356774081075912,0.03353900459196264,0.033955438189401166,-0.1589898345978767,True,-0.012305544845202201,-0.030963697030822752,0.0008448372021464759,False,-0.012619504028108963,-0.03260589984408734,0.0010988274878568124,False,0.9665,0.9645,-123.05544845202202,-126.19504028108963,-0.005951512864790218,-0.021549034963470905,0.004237721190643165,False,-0.006128890980852342,-0.022562090354010893,0.004385364264137879,False,0.8595,0.859,-59.51512864790217,-61.288909808523414
EU,ML Random Forest Base,Machine Learning,1.0,127,2015-09-30,2026-07-31,0.03615958746648293,0.03169021066512512,0.09785888208123823,0.03137140706538809,0.031690210665124896,-0.1676263542871623,True,-0.014473142371776757,-0.03014065446537216,-0.0026476553205647215,False,-0.014884731552385233,-0.03192306326691615,-0.002559051389107861,False,0.992,0.992,-144.73142371776757,-148.84731552385233,-0.008119110391364773,-0.01969708086642469,0.0005385395556775441,False,-0.008394118505128612,-0.020141724260521836,0.0005616931708098171,False,0.967,0.967,-81.19110391364772,-83.94118505128611
EU,ML Random Forest + VRP,Machine Learning,1.0,127,2015-09-30,2026-07-31,0.035121775752729595,0.030687099253590144,0.09720331547599505,0.030397533482966685,0.03068709925359059,-0.1684062644173783,True,-0.01544701595419816,-0.03159997744164773,-0.0033680279879307958,False,-0.01588784296391954,-0.033297031963727505,-0.0032844426373749235,False,0.9925,0.9915,-154.4701595419816,-158.87842963919542,-0.009092983973786176,-0.020721342550881674,-0.00026375891935355347,False,-0.00939722991666292,-0.021490311004290226,-0.0002934388550952677,False,0.978,0.978,-90.92983973786176,-93.9722991666292
EU,RSM RV + Log VRP,RSM,1.0,127,2015-09-30,2026-07-31,0.03853589038958427,0.028897314210667213,0.1365503269551993,0.029212894493798353,0.02889731421066677,-0.2695036658780776,True,-0.016631654943366492,-0.046253261322699885,0.00998665785686631,False,-0.01767762800684336,-0.047101919397206836,0.010896297011813594,False,0.8565,0.8585,-166.31654943366493,-176.7762800684336,-0.010277622962954508,-0.04558067373920641,0.02316144783408601,False,-0.011187014959586739,-0.04621552139206286,0.025117375434171883,False,0.6805,0.6875,-102.77622962954509,-111.87014959586739
