Market,Strategy,Gamma,Obs,Start,End,Ann. Arithmetic Mean,Ann. Geometric Return,Ann. Vol,MV CEQ Ann.,CRRA CE Ann.,Min Monthly Return,CRRA Domain Valid,Delta MV CEQ Ann. vs 60/40,Delta MV CEQ CI Low vs 60/40,Delta MV CEQ CI High vs 60/40,Delta MV CEQ Positive vs 60/40,Delta CRRA CE Ann. vs 60/40,Delta CRRA CE CI Low vs 60/40,Delta CRRA CE CI High vs 60/40,Delta CRRA CE Positive vs 60/40,Bootstrap P(Delta MV <= 0) vs 60/40,Bootstrap P(Delta CRRA <= 0) vs 60/40,Fee Eq. bps vs 60/40,CRRA Fee Eq. bps vs 60/40,Delta MV CEQ Ann. vs 1/N Equity-Bond,Delta MV CEQ CI Low vs 1/N Equity-Bond,Delta MV CEQ CI High vs 1/N Equity-Bond,Delta MV CEQ Positive vs 1/N Equity-Bond,Delta CRRA CE Ann. vs 1/N Equity-Bond,Delta CRRA CE CI Low vs 1/N Equity-Bond,Delta CRRA CE CI High vs 1/N Equity-Bond,Delta CRRA CE Positive vs 1/N Equity-Bond,Bootstrap P(Delta MV <= 0) vs 1/N Equity-Bond,Bootstrap P(Delta CRRA <= 0) vs 1/N Equity-Bond,Fee Eq. bps vs 1/N Equity-Bond,CRRA Fee Eq. bps vs 1/N Equity-Bond
EU,Synthetic Pure VRP Proxy,1.0,122,2015-06-30,2026-07-31,0.2908195822216047,0.324574903045439,0.11540436339201186,0.28416049867664694,0.32457490304543923,-0.0628140731107405,True,0.2576807670662134,0.2029091415225265,0.31990931680477186,True,0.2977349470799646,0.23287154783320171,0.37442684748702654,True,0.0,0.0,2576.807670662134,2977.349470799646,0.26140391367200333,0.20690734425815438,0.32267983882358325,True,0.3015540158665295,0.23468305023691366,0.38013768564352735,True,0.0,0.0,2614.039136720033,3015.540158665295
EU,Buy-and-Hold Equity,1.0,122,2015-06-30,2026-07-31,0.05378047310816206,0.0398414567054608,0.17172261608929754,0.03903614466988592,0.039841456705459466,-0.1629649254036141,True,0.012556413059452355,-0.02066737112106252,0.04724610266504423,False,0.01300150073998485,-0.020442830481327428,0.05256035025666427,False,0.225,0.2265,125.56413059452355,130.0150073998485,0.016279559665242315,-0.025166507571059725,0.059673791445813994,False,0.016820569526549756,-0.025010889666036755,0.06589607403729275,False,0.2185,0.2175,162.79559665242314,168.20569526549755
EU,60/40,1.0,122,2015-06-30,2026-07-31,0.03280039761742443,0.02683995596547395,0.11243367829072275,0.026479731610433564,0.026839955965474616,-0.1108168396733621,True,0.0,0.0,0.0,False,0.0,0.0,0.0,False,1.0,1.0,0.0,0.0,0.00372314660578996,-0.004498963673322072,0.012504310004675835,False,0.0038190687865649053,-0.0044208876651361,0.013333938378935001,False,0.194,0.195,37.2314660578996,38.19068786564905
EU,RSM RV + Raw VRP,1.0,122,2015-06-30,2026-07-31,0.03158501716887586,0.025548259192259115,0.11244738473362685,0.02526281000215971,0.025548259192258227,-0.1370805033268703,True,-0.0012169216082738542,-0.026820520969116537,0.02590510497005425,False,-0.0012916967732163886,-0.02795927101736428,0.026531818486778467,False,0.648,0.6485,-12.169216082738542,-12.916967732163886,0.0025062249975161058,-0.022588977242183162,0.02764376626052977,False,0.0025273720133485167,-0.022779947849127187,0.028572714573694633,False,0.5265,0.527,25.06224997516106,25.273720133485167
EU,1/N Equity-Bond,1.0,122,2015-06-30,2026-07-31,0.02759878899420954,0.0230208871789086,0.09840938968986584,0.022756585004643604,0.02302088717890971,-0.0977640758101841,True,-0.00372314660578996,-0.01250431000467584,0.004498963673322069,False,-0.0038190687865649053,-0.013333938378935017,0.004420887665136085,False,0.806,0.805,-37.2314660578996,-38.19068786564905,0.0,0.0,0.0,False,0.0,0.0,0.0,False,1.0,1.0,0.0,0.0
EU,RSM RV + Log VRP,1.0,122,2015-06-30,2026-07-31,0.02273784207543454,0.018710552913646872,0.09182109673318331,0.01852228517279224,0.018710552913647538,-0.0760675938651776,True,-0.007957446437641326,-0.033440019468730334,0.020333735368967692,False,-0.008129403051827078,-0.03504755751919965,0.020537413842557778,False,0.7245,0.7235,-79.57446437641326,-81.29403051827077,-0.004234299831851366,-0.025291947340469547,0.01847750228279352,False,-0.004310334265262172,-0.02596589973114414,0.01861391888974687,False,0.651,0.6505,-42.34299831851366,-43.10334265262172
EU,HMM RV,1.0,122,2015-06-30,2026-07-31,0.02382417343277298,0.01803281579167626,0.10936272209535183,0.0178440709407204,0.018032815791675594,-0.0788113544497624,True,-0.008635660669713163,-0.030813148009187042,0.01539408483589912,False,-0.008807140173799022,-0.03167715583664536,0.015889339545195842,False,0.723,0.7225,-86.35660669713164,-88.07140173799021,-0.004912514063923203,-0.025159017829045813,0.01916328779957105,False,-0.0049880713872341165,-0.025618398806058103,0.020251016694651156,False,0.615,0.615,-49.125140639232036,-49.88071387234116
EU,RSM RV,1.0,122,2015-06-30,2026-07-31,0.020314076485901656,0.016588036298176068,0.08804064386580371,0.016438498999749016,0.016588036298174735,-0.0761426165418579,True,-0.010041232610684549,-0.03474576974330585,0.01869007338526242,False,-0.01025191966729988,-0.035908084766998374,0.01896808029935876,False,0.7375,0.7375,-100.41232610684548,-102.5191966729988,-0.006318086004894589,-0.0256990283816317,0.017186671215701985,False,-0.006432850880734975,-0.026502549039829598,0.017600592017506134,False,0.685,0.684,-63.18086004894589,-64.32850880734975
EU,HMM RV + Log VRP,1.0,122,2015-06-30,2026-07-31,0.019103440964485477,0.013546958162249156,0.10653029704453912,0.013429088870286605,0.013546958162249156,-0.0789139974785599,True,-0.013050642740146959,-0.04130948343462965,0.013200209528896693,False,-0.01329299780322546,-0.04166954967163404,0.013244277928581018,False,0.8365,0.8365,-130.50642740146958,-132.92997803225458,-0.009327496134356999,-0.0373902637462849,0.017761143112355406,False,-0.009473929016660554,-0.03773123581189858,0.01835765980116783,False,0.7535,0.753,-93.27496134356998,-94.73929016660554
EU,RSM Returns Only,1.0,122,2015-06-30,2026-07-31,0.012042471748801985,0.008265351848603109,0.08736522558173278,0.008226130428328458,0.008265351848603775,-0.0751342078642919,True,-0.018253601182105107,-0.04545655271503942,0.0131110527835701,False,-0.01857460411687084,-0.04738395222782379,0.013194152142683624,False,0.876,0.8755,-182.53601182105106,-185.74604116870842,-0.014530454576315147,-0.0361193412296949,0.011459722482928236,False,-0.014755535330305936,-0.036828278703037585,0.01139972772728467,False,0.8655,0.863,-145.30454576315145,-147.55535330305935
