date,signal_date,strategy,model,features,feature_count,stress_probability,predicted_stress,actual_stress,train_stress_rate,return_threshold,rv_threshold,equity_weight,bond_weight,turnover,gross_return,net_return,next_equity_return,next_realized_variance,train_obs,fit_status,error_message
2011-04-30,2011-03-31,ML Logistic Base,Logistic,equity_ret + bond_ret + log_rv_ann + log_iv_ann,4,0.4356354881127781,0,0,0.2916666666666667,-0.02540426883526746,0.05024129622728161,0.5386187071323332,0.4613812928676668,1.0,0.022831083472607476,0.021831083472607475,0.0289613761733893,0.0075587205607825,72,fitted,
2011-05-31,2011-04-30,ML Logistic Base,Logistic,equity_ret + bond_ret + log_rv_ann + log_iv_ann,4,0.16376760406863414,0,0,0.2916666666666667,-0.02540426883526746,0.05024129622728161,0.7017394375588196,0.2982605624411804,0.3262414608529729,-0.004171577660400327,-0.0044978191212533,-0.0112144254815793,0.0110761203392562,72,fitted,
2011-06-30,2011-05-31,ML Logistic Base,Logistic,equity_ret + bond_ret + log_rv_ann + log_iv_ann,4,0.25016080544390734,0,0,0.2916666666666667,-0.02540426883526746,0.05024129622728161,0.6499035167336557,0.35009648326634435,0.10367184165032794,-0.01252244532186826,-0.012626117163518587,-0.0168700078463259,0.0214107095288551,72,fitted,
2011-07-31,2011-06-30,ML Logistic Base,Logistic,equity_ret + bond_ret + log_rv_ann + log_iv_ann,4,0.4173358608739909,0,0,0.2916666666666667,-0.02540426883526746,0.05024129622728161,0.5495984834756055,0.45040151652439453,0.20061006651610036,-0.0033975643374062675,-0.0035981744039223678,-0.0200043491479079,0.0234689545298284,72,fitted,
2011-08-31,2011-07-31,ML Logistic Base,Logistic,equity_ret + bond_ret + log_rv_ann + log_iv_ann,4,0.515850126342753,1,1,0.2916666666666667,-0.02540426883526746,0.05024129622728161,0.4904899241943482,0.5095100758056518,0.11821711856251449,-0.019218254458107615,-0.01933647157667013,-0.0549756689838916,0.2183075845871292,72,fitted,
2011-09-30,2011-08-31,ML Logistic Base,Logistic,equity_ret + bond_ret + log_rv_ann + log_iv_ann,4,0.8270491546857427,1,1,0.2916666666666667,-0.029265442999799995,0.05215353486915771,0.3037705071885544,0.6962294928114456,0.3734388340115877,-0.01572318634570908,-0.01609662517972067,-0.0694209569617928,0.0837550521056862,72,fitted,
2011-10-31,2011-09-30,ML Logistic Base,Logistic,equity_ret + bond_ret + log_rv_ann + log_iv_ann,4,0.8798942631627574,1,1,0.2777777777777778,-0.03107264108505382,0.06131442345129999,0.27206344210234557,0.7279365578976544,0.06341413017241765,0.030615643158454553,0.030552229028282134,0.1091471376825803,0.0854744311998559,72,fitted,
2011-11-30,2011-10-31,ML Logistic Base,Logistic,equity_ret + bond_ret + log_rv_ann + log_iv_ann,4,0.759112282326676,1,1,0.2916666666666667,-0.03107264108505382,0.06726469050944478,0.3445326306039944,0.6554673693960056,0.1449383770032977,-0.0035681455643811573,-0.003713083941384455,-0.0040636591106093,0.0892741878172766,72,fitted,
2011-12-31,2011-11-30,ML Logistic Base,Logistic,equity_ret + bond_ret + log_rv_ann + log_iv_ann,4,0.7894617010529452,1,0,0.3055555555555556,-0.03107264108505382,0.06977431435421386,0.3263229793682329,0.673677020631767,0.036419302471522974,0.012549105792576128,0.012512686490104605,0.01044831087433,0.0337262085043343,72,fitted,
2012-01-31,2011-12-31,ML Logistic Base,Logistic,equity_ret + bond_ret + log_rv_ann + log_iv_ann,4,0.46095303455939113,0,0,0.3055555555555556,-0.03107264108505382,0.06977431435421386,0.5234281792643654,0.47657182073563464,0.39421039979226485,0.02773209607400376,0.027337885674211495,0.0463746526390511,0.0083654259453761,72,fitted,
