,Model Group,Ann. Return,Ann. Vol,Sharpe,Sortino,Max Drawdown,Calmar,VaR 95,CVaR 95,Avg Turnover,Obs
Synthetic Pure VRP Proxy,Synthetic Direct VRP,0.3874605634624442,0.11617938548609183,2.9144346996740516,4.0317059286006005,-0.09753843973222398,3.9723883683822963,-0.0228613999807577,-0.0505198744297091,0.0037295728577735024,184.0
Buy-and-Hold Equity,Benchmark,0.13957373626488878,0.1420391373327036,0.9954799437545888,1.4827255289586503,-0.23927185657071537,0.5833270083046252,-0.060815889856263135,-0.08180076563721442,0.0,184.0
60/40,Benchmark,0.09390441342346367,0.09211784878551788,1.023764422765036,1.481108049678873,-0.2006082692170763,0.4680984178266879,-0.038529992845685646,-0.052013082298756216,0.014717179768490683,184.0
1/N Equity-Bond,Benchmark,0.08229758590183689,0.08053352965330211,1.0253000784281725,1.4595997257842475,-0.19102677118357592,0.43081702837739566,-0.033605790560192465,-0.04584128773457105,0.015347139708326622,184.0
HMM RV + Log VRP (full),HMM,0.08356720525275096,0.08237110620085422,1.0186568439272672,1.492568077554552,-0.1666869383123657,0.5013422533213061,-0.04185974779165488,-0.04864504758968732,0.25354522637722804,184.0
HMM RV + Log VRP (partial 0.25),HMM,0.08693791820451047,0.08618566513601572,1.0135433686994886,1.49482210618461,-0.1803892449975275,0.4819462391214181,-0.03936430737055717,-0.049979162481512796,0.09099960154147174,184.0
RSM RV + Raw VRP,RSM,0.09606406710339166,0.10254303721588261,0.9486227812058794,1.4117076345439648,-0.1543152289894535,0.6225183848183711,-0.03977627040294137,-0.055278947394841,0.3669280720587636,184.0
ML Logistic Base,Machine Learning,0.07580198330966259,0.07599464054406341,1.0022762266873948,1.4489497296448686,-0.1854012466785464,0.40885368716581544,-0.03629186786564731,-0.04352656312406902,0.17385524151298973,184.0
ML Logistic + VRP,Machine Learning,0.07470542083561305,0.07634108644862551,0.9846452991781284,1.4031051278927869,-0.185229665726525,0.40331239892161175,-0.036339610040112866,-0.04453458842493999,0.17623003394444173,184.0
ML Random Forest Base,Machine Learning,0.07662679198357258,0.07896006261918553,0.9772934956814969,1.4141450409446832,-0.1864690019249965,0.4109358187823315,-0.035759772957629825,-0.04497781357428066,0.18249081280190274,184.0
ML Random Forest + VRP,Machine Learning,0.07814033605342607,0.07930356286296267,0.9912240647171391,1.4335428087995334,-0.1892907584964162,0.41280586899283567,-0.03593672899500726,-0.04517655234292921,0.17451562015641386,184.0
ML Gradient Boosting Base,Machine Learning,0.0722031670229546,0.08061750552527547,0.9074797128398828,1.288747562673666,-0.1886747780638166,0.3826858457919208,-0.0383072511187978,-0.04728603920715828,0.2527920059750636,184.0
ML Gradient Boosting + VRP,Machine Learning,0.07245969149415865,0.08106758801055645,0.9058751873243218,1.2700931026306332,-0.18959163271199442,0.38218823509068567,-0.0374339081072533,-0.04769514338695657,0.2580069620606513,184.0
